raw_gps_input_alt_m	raw_gps_input_fix_type	raw_gps_input_lat	raw_gps_input_lon	syn_outputs_optical_flow_gps_port_six_parameters_altitude_m	syn_outputs_optical_flow_gps_port_six_parameters_course_deg	syn_outputs_optical_flow_gps_port_six_parameters_fix_type	syn_outputs_optical_flow_gps_port_six_parameters_hdop	syn_outputs_optical_flow_gps_port_six_parameters_heading_deg	syn_outputs_optical_flow_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_optical_flow_gps_port_six_parameters_latitude	syn_outputs_optical_flow_gps_port_six_parameters_longitude	syn_outputs_optical_flow_gps_port_six_parameters_pdop	syn_outputs_optical_flow_gps_port_six_parameters_satellites	syn_outputs_optical_flow_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_optical_flow_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_altitude_m	syn_outputs_vo_gps_port_six_parameters_course_deg	syn_outputs_vo_gps_port_six_parameters_fix_type	syn_outputs_vo_gps_port_six_parameters_hdop	syn_outputs_vo_gps_port_six_parameters_heading_deg	syn_outputs_vo_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_vo_gps_port_six_parameters_latitude	syn_outputs_vo_gps_port_six_parameters_longitude	syn_outputs_vo_gps_port_six_parameters_pdop	syn_outputs_vo_gps_port_six_parameters_satellites	syn_outputs_vo_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_vo_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_ubx_message_hex	syn_outputs_vo_gps_port_six_parameters_vdop	syn_outputs_vo_gps_port_six_parameters_velocity_down_mps	syn_outputs_vo_gps_port_six_parameters_velocity_east_mps	syn_outputs_vo_gps_port_six_parameters_velocity_north_mps	syn_outputs_vo_gps_port_six_parameters_vertical_accuracy_m
932.4	3	12.88779367	77.64298933	958.2174463	190.7238096	3	0.7	190.7238096	0.5	12.88781923	77.64297633	0.7	20	1	2026-03-07T12:47:26.997428Z	960.9381933	129.5796325	3	1.3	190.7238096	0.5	12.88761538	77.64311192	1.3	10	0.5	1772887647		1.3	0	0.813788186	-0.672737012	0.1
932.4	3	12.88779367	77.64298933	958.1744463	190.7238096	3	0.7	190.7238096	0.5	12.88782128	77.6429758	0.7	20	1	2026-03-07T12:47:27.190959Z	960.8248687	136.2295666	3	1.3	190.7238096	0.5	12.88761158	77.64311564	1.3	10	0.5	1772887647		1.3	0	1.013882826	-1.058359954	0.1
932.4	3	12.88779367	77.64298933	958.2754463	190.7238096	3	0.7	190.7238096	0.5	12.88782354	77.64297522	0.7	20	1	2026-03-07T12:47:27.391279Z	961.077314	161.9013405	3	1.3	190.7238096	0.5	12.88760717	77.64311712	1.3	10	0.5	1772887647		1.3	0	0.398971516	-1.220751604	0.1
932.4	3	12.88779367	77.64298933	958.1464463	190.7238096	3	0.7	190.7238096	0.5	12.88781891	77.64297404	0.7	20	1	2026-03-07T12:47:27.851367Z	961.0976931	141.0212081	3	1.3	190.7238096	0.5	12.88760018	77.64312293	1.3	10	0.5	1772887648		1.3	0	0.704762958	-0.870968759	0.1
932.4	3	12.88779367	77.6429895	958.2724463	190.7238096	3	0.7	190.7238096	0.5	12.88781686	77.64297351	0.7	20	1	2026-03-07T12:47:28.009188Z	961.0739176	151.2482707	3	1.3	190.7238096	0.5	12.88759224	77.64312739	1.3	10	0.5	1772887648		1.3	0	1.469749481	-2.678807809	0.1
932.4	3	12.88779367	77.6429895	958.2344463	190.7238096	3	0.7	190.7238096	0.5	12.88781902	77.64297296	0.7	20	1	2026-03-07T12:47:28.196986Z	961.0555734	132.6161755	3	1.3	190.7238096	0.5	12.88758745	77.64313274	1.3	10	0.5	1772887648		1.3	0	1.488779469	-1.369778805	0.1
932.4	3	12.88779367	77.6429895	958.1634463	190.7238096	3	0.7	190.7238096	0.5	12.88782096	77.64297246	0.7	20	1	2026-03-07T12:47:28.410620Z	960.9330822	130.1588752	3	1.3	190.7238096	0.5	12.88758264	77.64313859	1.3	10	0.5	1772887648		1.3	0	1.570556808	-1.325292254	0.1
932.4	3	12.88779367	77.6429895	958.1314463	190.7238096	3	0.7	190.7238096	0.5	12.88782311	77.64297191	0.7	20	1	2026-03-07T12:47:28.596664Z	960.8750918	165.2139048	3	1.3	190.7238096	0.5	12.88757788	77.64313988	1.3	10	0.5	1772887649		1.3	0	0.364775156	-1.381976458	0.1
932.4	3	12.88779367	77.6429895	958.1144463	190.7238096	3	0.7	190.7238096	0.5	12.88782483	77.64297135	0.7	20	1	2026-03-07T12:47:28.788918Z	960.9485082	151.1620636	3	1.3	190.7238096	0.5	12.88757335	77.64314244	1.3	10	0.5	1772887649		1.3	0	0.697724834	-1.267168633	0.1
932.4	3	12.88779367	77.6429895	958.1694463	190.7238096	3	0.7	190.7238096	0.5	12.88782483	77.64297135	0.7	20	1	2026-03-07T12:47:29.004076Z	961.0459255	151.9619009	3	1.3	190.7238096	0.5	12.88756957	77.6431445	1.3	10	0.5	1772887649		1.3	0	0.560882008	-1.053175575	0.1
932.4	3	12.88779367	77.6429895	958.2354463	190.7238096	3	0.7	190.7238096	0.5	12.88782483	77.64297135	0.7	20	1	2026-03-07T12:47:29.195054Z	961.2003776	110.8221761	3	1.3	190.7238096	0.5	12.88756845	77.64314752	1.3	10	0.5	1772887649		1.3	0	0.819740157	-0.311753188	0.1
